iter	Passed	Remaining
563	2697	2085
564	2701	2079
565	2705	2074
566	2710	2069
567	2714	2064
568	2719	2059
569	2723	2054
570	2727	2049
571	2732	2044
572	2736	2039
573	2741	2034
574	2745	2029
575	2750	2024
576	2754	2019
577	2759	2014
578	2764	2009
579	2769	2005
580	2773	2000
581	2777	1995
582	2782	1990
583	2786	1985
584	2791	1979
585	2795	1974
586	2798	1969
587	2803	1964
588	2807	1959
589	2812	1954
590	2816	1949
591	2821	1944
592	2825	1939
593	2830	1934
594	2834	1929
595	2839	1924
596	2843	1919
597	2847	1914
598	2851	1909
599	2856	1904
600	2861	1899
601	2866	1895
602	2870	1890
603	2875	1885
604	2879	1880
605	2884	1875
606	2889	1870
607	2894	1866
608	2900	1862
609	2905	1857
610	2910	1852
611	2916	1849
612	2921	1844
613	2925	1839
614	2932	1835
615	2936	1830
616	2941	1825
617	2945	1820
618	2951	1816
619	2956	1812
620	2961	1807
621	2966	1802
622	2971	1797
623	2975	1793
624	2980	1788
625	2984	1782
626	2988	1778
627	2994	1773
628	2998	1768
629	3002	1763
630	3006	1758
631	3010	1753
632	3015	1748
633	3020	1743
634	3023	1738
635	3028	1733
636	3032	1728
637	3036	1723
638	3041	1718
639	3045	1712
640	3049	1707
641	3054	1703
642	3058	1698
643	3062	1692
644	3066	1688
645	3071	1683
646	3077	1678
647	3081	1673
648	3086	1669
649	3090	1664
650	3094	1659
651	3099	1654
652	3103	1649
653	3108	1644
654	3112	1639
655	3116	1634
656	3122	1629
657	3126	1625
658	3129	1619
659	3133	1613
660	3137	1609
661	3141	1604
662	3145	1598
663	3149	1593
664	3154	1588
665	3158	1583
666	3162	1579
667	3166	1573
668	3171	1569
669	3176	1564
670	3181	1560
671	3186	1555
672	3190	1550
673	3196	1545
674	3201	1541
675	3206	1536
676	3212	1532
677	3216	1527
678	3220	1522
679	3226	1518
680	3232	1514
681	3236	1509
682	3241	1504
683	3246	1499
684	3251	1495
685	3256	1490
686	3260	1485
687	3265	1480
688	3269	1475
689	3275	1471
690	3278	1466
691	3283	1461
692	3288	1456
693	3293	1451
694	3297	1447
695	3303	1442
696	3308	1438
697	3313	1433
698	3317	1428
699	3322	1423
700	3326	1418
701	3331	1414
702	3334	1408
703	3338	1403
704	3344	1399
705	3348	1394
706	3355	1390
707	3360	1385
708	3365	1381
709	3368	1375
710	3373	1371
711	3379	1367
712	3386	1362
713	3392	1358
714	3396	1353
715	3402	1349
716	3408	1345
717	3412	1340
718	3417	1335
719	3423	1331
720	3428	1326
721	3433	1322
722	3439	1317
723	3444	1313
724	3448	1308
725	3454	1303
726	3459	1298
727	3464	1294
728	3470	1289
729	3474	1285
730	3479	1280
731	3485	1276
732	3490	1271
733	3494	1266
734	3498	1261
735	3504	1257
736	3509	1252
737	3513	1247
738	3519	1242
739	3523	1237
740	3529	1233
741	3536	1229
742	3541	1224
743	3545	1220
744	3551	1215
745	3556	1210
746	3560	1206
747	3565	1201
748	3569	1196
749	3573	1191
750	3576	1185
751	3582	1181
752	3587	1176
753	3591	1171
754	3596	1167
755	3602	1162
756	3607	1157
757	3612	1153
758	3618	1148
759	3623	1144
760	3628	1139
761	3633	1134
762	3638	1130
763	3642	1125
764	3646	1120
765	3651	1115
766	3656	1110
767	3660	1105
768	3665	1100
769	3669	1096
770	3675	1091
771	3679	1086
772	3684	1081
773	3688	1076
774	3693	1072
775	3698	1067
776	3703	1062
777	3708	1058
778	3713	1053
779	3717	1048
780	3722	1043
781	3727	1039
782	3732	1034
783	3736	1029
784	3741	1024
785	3746	1020
786	3751	1015
787	3755	1010
788	3760	1005
789	3764	1000
790	3768	995
791	3772	990
792	3776	985
793	3781	980
794	3785	976
795	3790	971
796	3795	966
797	3800	961
798	3804	957
799	3809	952
800	3814	947
801	3819	942
802	3823	938
803	3829	933
804	3833	928
805	3838	923
806	3844	919
807	3848	914
808	3853	909
809	3857	904
810	3861	899
811	3865	894
812	3868	889
813	3872	884
814	3876	880
815	3881	875
816	3885	870
817	3889	865
818	3894	860
819	3898	855
820	3902	850
821	3907	846
822	3912	841
823	3916	836
824	3920	831
825	3925	826
826	3929	821
827	3933	817
828	3937	812
829	3942	807
830	3946	802
831	3951	797
832	3955	792
833	3960	788
834	3964	783
835	3969	778
836	3972	773
837	3977	768
838	3982	764
839	3986	759
840	3991	754
841	3996	749
842	4000	744
843	4004	740
844	4008	735
845	4013	730
846	4018	725
847	4022	721
848	4027	716
849	4032	711
850	4037	706
851	4042	702
852	4046	697
853	4051	692
854	4055	687
855	4059	682
856	4064	678
857	4068	673
858	4072	668
859	4076	663
860	4080	658
861	4084	653
862	4089	649
863	4094	644
864	4098	639
865	4103	634
866	4107	630
867	4112	625
868	4116	620
869	4121	615
870	4126	611
871	4131	606
872	4135	601
873	4140	596
874	4144	592
875	4148	587
876	4153	582
877	4158	577
878	4162	572
879	4167	568
880	4172	563
881	4176	558
882	4180	553
883	4184	549
884	4188	544
885	4193	539
886	4197	534
887	4202	530
888	4206	525
889	4210	520
890	4215	515
891	4221	511
892	4226	506
893	4232	501
894	4236	497
895	4241	492
896	4245	487
897	4249	482
898	4253	477
899	4257	473
900	4262	468
901	4266	463
902	4270	458
903	4274	453
904	4279	449
905	4283	444
906	4287	439
907	4292	434
908	4297	430
909	4301	425
910	4305	420
911	4311	415
912	4314	411
913	4319	406
914	4323	401
915	4327	396
916	4332	392
917	4336	387
918	4341	382
919	4346	377
920	4352	373
921	4357	368
922	4362	363
923	4368	359
924	4372	354
925	4376	349
926	4380	344
927	4385	340
928	4388	335
929	4392	330
930	4397	325
931	4401	321
932	4405	316
933	4410	311
934	4413	306
935	4418	302
936	4422	297
937	4427	292
938	4431	287
939	4436	283
940	4440	278
941	4445	273
942	4449	268
943	4453	264
944	4458	259
945	4463	254
946	4468	250
947	4473	245
948	4477	240
949	4483	235
950	4487	231
951	4491	226
952	4496	221
953	4501	217
954	4505	212
955	4510	207
956	4514	202
957	4518	198
958	4522	193
959	4526	188
960	4531	183
961	4535	179
962	4540	174
963	4544	169
964	4549	164
965	4553	160
966	4556	155
967	4561	150
968	4565	146
969	4570	141
970	4575	136
971	4579	131
972	4584	127
973	4588	122
974	4593	117
975	4597	113
976	4602	108
977	4606	103
978	4611	98
979	4615	94
980	4621	89
981	4625	84
982	4629	80
983	4634	75
984	4638	70
985	4642	65
986	4647	61
987	4652	56
988	4656	51
989	4661	47
990	4665	42
991	4670	37
992	4674	32
993	4679	28
994	4684	23
995	4689	18
996	4694	14
997	4699	9
998	4703	4
999	4708	0
